Bin Center, Count
1.6115, 211
1.6125, 238
1.6135, 243
1.6145, 241
1.6155, 157
1.6165, 135
1.6175, 134
1.6185, 142
1.6195, 116
1.6205, 129
1.6215, 127
1.6225, 134
1.6235, 129
1.6245, 120
1.6255, 119
1.6265, 113
1.6275, 100
1.6285, 111
1.6295, 91
1.6305, 104
1.6315, 117
1.6325, 131
1.6335, 114
1.6345, 112
1.6355, 99
1.6365, 92
1.6375, 103
1.6385, 101
1.6395, 100
1.6405, 80
1.6415, 93
1.6425, 97
1.6435, 87
1.6445, 84
1.6455, 112
1.6465, 84
1.6475, 87
1.6485, 95
1.6495, 83
1.6505, 91
